[2026-05-23 14:21:02] [FAIL] app=APP-00045 from=enrolment_done to=N/A action=complete_training role=safety_user | Invalid action 'complete_training' for status 'enrolment_done'. Valid actions: []
[2026-05-23 14:21:16] [FAIL] app=APP-00045 from=enrolment_done to=N/A action=complete_training role=safety_user | Invalid action 'complete_training' for status 'enrolment_done'. Valid actions: []
[2026-05-23 14:22:39] [FAIL] app=APP-00045 from=enrolment_done to=N/A action=verify role=welfare_admin | Invalid action 'verify' for status 'enrolment_done'. Valid actions: []
[2026-05-23 14:22:41] [FAIL] app=APP-00045 from=enrolment_done to=N/A action=complete_training role=welfare_admin | Invalid action 'complete_training' for status 'enrolment_done'. Valid actions: []
[2026-05-23 14:24:27] [FAIL] app=APP-00045 from=enrolment_done to=N/A action=request_gatepass role=contractor | Invalid action 'request_gatepass' for status 'enrolment_done'. Valid actions: []
[2026-05-23 14:26:36] [FAIL] app=APP-00045 from=enrolment_done to=N/A action=verify_documents role=welfare_admin | Invalid action 'verify_documents' for status 'enrolment_done'. Valid actions: []
[2026-05-23 14:28:56] [OK] app=APP-00045 from=enrolment_done to=acc_generated action=set_status role=pass_user | ACC Generated for worker: telecon
[2026-05-23 15:52:09] [FAIL] app=APP-00055 from=enrolment_done to=N/A action=complete_training role=safety_user | Invalid action 'complete_training' for status 'enrolment_done'. Valid actions: []
[2026-05-23 15:52:58] [FAIL] app=APP-00055 from=enrolment_done to=N/A action=verify role=welfare_admin | Invalid action 'verify' for status 'enrolment_done'. Valid actions: []
[2026-05-23 15:53:01] [FAIL] app=APP-00055 from=enrolment_done to=N/A action=complete_training role=welfare_admin | Invalid action 'complete_training' for status 'enrolment_done'. Valid actions: []
[2026-05-23 15:54:40] [FAIL] app=APP-00055 from=enrolment_done to=N/A action=request_gatepass role=contractor | Invalid action 'request_gatepass' for status 'enrolment_done'. Valid actions: []
[2026-05-23 16:04:54] [FAIL] app=APP-00055 from=enrolment_done to=N/A action=verify_documents role=welfare_admin | Invalid action 'verify_documents' for status 'enrolment_done'. Valid actions: []
[2026-05-23 16:06:06] [OK] app=APP-00055 from=enrolment_done to=acc_generated action=set_status role=pass_user | ACC Generated for worker: telecon
[2026-05-23 16:22:21] [FAIL] app=APP-00055 from=acc_generated to=N/A action=verify_documents role=welfare_admin | Invalid action 'verify_documents' for status 'acc_generated'. Valid actions: [enroll_biometric, issue_permanent_pass]
[2026-05-23 16:22:23] [FAIL] app=APP-00055 from=acc_generated to=N/A action=verify_documents role=welfare_admin | Invalid action 'verify_documents' for status 'acc_generated'. Valid actions: [enroll_biometric, issue_permanent_pass]
[2026-05-23 16:22:28] [FAIL] app=APP-00055 from=acc_generated to=N/A action=verify_documents role=welfare_admin | Invalid action 'verify_documents' for status 'acc_generated'. Valid actions: [enroll_biometric, issue_permanent_pass]
[2026-05-23 16:22:30] [FAIL] app=APP-00055 from=acc_generated to=N/A action=verify_documents role=welfare_admin | Invalid action 'verify_documents' for status 'acc_generated'. Valid actions: [enroll_biometric, issue_permanent_pass]
[2026-05-23 16:42:55] [FAIL] app=APP-00055 from=acc_generated to=N/A action=verify_documents role=welfare_admin | Invalid action 'verify_documents' for status 'acc_generated'. Valid actions: [enroll_biometric, issue_permanent_pass]
[2026-05-23 16:42:55] [FAIL] app=APP-00055 from=acc_generated to=N/A action=verify_documents role=welfare_admin | Invalid action 'verify_documents' for status 'acc_generated'. Valid actions: [enroll_biometric, issue_permanent_pass]
[2026-05-23 16:42:55] [FAIL] app=APP-00055 from=acc_generated to=N/A action=verify_documents role=welfare_admin | Invalid action 'verify_documents' for status 'acc_generated'. Valid actions: [enroll_biometric, issue_permanent_pass]
[2026-05-23 16:42:55] [FAIL] app=APP-00055 from=acc_generated to=N/A action=verify_documents role=welfare_admin | Invalid action 'verify_documents' for status 'acc_generated'. Valid actions: [enroll_biometric, issue_permanent_pass]
[2026-05-23 16:42:55] [FAIL] app=APP-00055 from=acc_generated to=N/A action=verify_documents role=welfare_admin | Invalid action 'verify_documents' for status 'acc_generated'. Valid actions: [enroll_biometric, issue_permanent_pass]
[2026-05-23 16:43:05] [FAIL] app=APP-00055 from=acc_generated to=N/A action=verify_documents role=welfare_admin | Invalid action 'verify_documents' for status 'acc_generated'. Valid actions: [enroll_biometric, issue_permanent_pass]
[2026-05-23 16:46:49] [FAIL] app=APP-00055 from=acc_generated to=N/A action=verify_documents role=welfare_admin | Invalid action 'verify_documents' for status 'acc_generated'. Valid actions: [enroll_biometric, issue_permanent_pass]
[2026-05-23 16:49:33] [FAIL] app=APP-00055 from=acc_generated to=N/A action=verify_documents role=welfare_admin | Invalid action 'verify_documents' for status 'acc_generated'. Valid actions: [enroll_biometric, issue_permanent_pass]
[2026-05-25 10:07:48] [FAIL] app=APP-00055 from=approved to=N/A action=verify role=welfare_admin | Invalid action 'verify' for status 'approved'. Valid actions: [enrol_workmen, complete_training, fail_training]
[2026-05-27 11:40:11] [FAIL] app=APP-00063 from=submitted to=N/A action=request_gatepass role=contractor | Invalid action 'request_gatepass' for status 'submitted'. Valid actions: [verify, reject]
[2026-05-27 11:43:47] [FAIL] app=APP-00063 from=verified to=N/A action=verify role=welfare_admin | Invalid action 'verify' for status 'verified'. Valid actions: [approve, reject]
[2026-05-27 11:43:52] [FAIL] app=APP-00063 from=verified to=N/A action=complete_training role=welfare_admin | Invalid action 'complete_training' for status 'verified'. Valid actions: [approve, reject]
[2026-05-27 14:55:38] [FAIL] app=APP-00063 from=verified to=N/A action=request_gatepass role=contractor | Invalid action 'request_gatepass' for status 'verified'. Valid actions: [approve, reject]
